Fiscal Year,Year,Quarter,Month,Date,DCA Entity,License Type Code,License Type,Transaction Code,Application Type,Target Cycle Time Complete Applications,Volume Complete Applications,Cycle Time Complete Applications,Volume Incomplete Applications,Cycle Time Incomplete Applications,Volume Renewal Applications,Cycle Time Renewal Applications,Comment,Website
6/30/2022,2022,Q2,October,10/31/2021,California Board of Behavioral Sciences,2005,Licensed Professional Clinical Counselor,3020,Upgrade Application APCC to LPCC,0,33,25,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Application for Issuance of License - Initials,90,1,6,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Initial Application – for Examination,90,0,0,1,10,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Renewal Application,90,0,0,0,0,89,2,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Application for Issuance of License - Initials,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Initial Application – for Examination,90,0,0,1,37,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Renewal Application,90,0,0,0,0,79,2,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Application for Issuance of License - Initials,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Initial Application – for Examination,90,0,0,2,8,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified General,N/A,Renewal Application,90,0,0,0,0,68,1,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Application for Issuance of License - Initials,90,1,28,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Initial Application – for Examination,90,1,1,2,15,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,1,11,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Renewal Application,90,0,0,0,0,157,2,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Application for Issuance of License - Initials,90,2,21,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Initial Application – for Examination,90,1,1,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Renewal Application,90,0,0,0,0,113,2,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Application for Issuance of License - Initials,90,2,32,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Initial Application – for Examination,90,1,6,3,36,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Certified Residential,N/A,Renewal Application,90,0,0,0,0,136,1,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Application for Issuance of License - Initials,90,1,37,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Initial Application – for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,1,13,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Examination,90,2,2,2,14,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Renewal Application,90,0,0,0,0,20,2,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Application for Issuance of License - Initials,90,2,25,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Initial Application – for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Examination,90,0,0,2,22,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Renewal Application,90,0,0,0,0,27,2,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Application for Issuance of License - Initials,90,2,40,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Initial Application – for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Examination,90,1,1,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Residential,N/A,Renewal Application,90,0,0,0,0,36,1,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Application for Issuance of License - Initials,90,14,17,11,14,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Examination,90,0,0,1,42,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Examination,90,0,0,1,16,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Examination,90,0,0,6,30,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Issuance of License,90,1,16,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Renewal Application,90,0,0,0,0,18,6,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Application for Issuance of License - Initials,90,14,5,8,14,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Examination,90,0,0,2,25,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Examination,90,2,3,8,35,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Issuance of License,90,1,21,1,31,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Renewal Application,90,0,0,0,0,8,1,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Application for Issuance of License - Initials,90,26,3,7,10,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified General - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Examination,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Certified Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Examination,90,0,0,2,21,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Upgrade Application to Residential - for Issuance of License,90,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California Bureau of Real Estate Appraisers,N/A,Real Estate Appraiser - Trainee,N/A,Renewal Application,90,0,0,0,0,12,2,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4204,Fictitious Name Permit,1020,Issue License,30,4,43,6,135,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4204,Fictitious Name Permit,2020,Renewal Application,0,0,0,0,0,314,1,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4204,Fictitious Name Permit,1020,Issue License,30,2,102,5,82,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4204,Fictitious Name Permit,2020,Renewal Application,0,0,0,0,0,560,1,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4204,Fictitious Name Permit,1020,Issue License,30,10,169,9,131,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4204,Fictitious Name Permit,2020,Renewal Application,0,0,0,0,0,5,1,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,1020,Initial Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,2020,Renewal Application,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,1020,Initial Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,2020,Renewal Application,0,0,0,0,0,1,1,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,1020,Initial Application,60,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4208,Nonresident Contact Lens Seller,2020,Renewal Application,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4201,Optometrist,1010,Exam Request,30,40,1,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4201,Optometrist,1020,Initial License,90,0,0,5,88,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4201,Optometrist,2020,Renewal Application,0,0,0,0,0,263,10,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4201,Optometrist,1010,Exam Request,30,17,1,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4201,Optometrist,1020,Initial License,90,0,0,11,98,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4201,Optometrist,2020,Renewal Application,0,0,0,0,0,270,10,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4201,Optometrist,1010,Exam Request,30,13,2,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4201,Optometrist,1020,Initial License,90,10,78,33,89,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4201,Optometrist,2020,Renewal Application,0,0,0,0,0,324,7,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,1020,Initial Application,30,13,48,4,73,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,2020,Renewal Application,0,0,0,0,0,47,1,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,1020,Initial Application,30,9,39,3,78,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,2020,Renewal Application,0,0,0,0,0,49,8,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,1020,Initial Application,30,1,66,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4207,Registered Contact Lens Dispenser,2020,Renewal Application,0,0,0,0,0,42,1,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4205,Registered Dispensing Optician,1020,Initial Application,60,3,14,6,107,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4205,Registered Dispensing Optician,2020,Renewal Application,0,0,0,0,0,63,8,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4205,Registered Dispensing Optician,1020,Initial Application,60,1,30,14,141,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4205,Registered Dispensing Optician,2020,Renewal Application,0,0,0,0,0,50,22,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4205,Registered Dispensing Optician,1020,Initial Application,60,1,156,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4205,Registered Dispensing Optician,2020,Renewal Application,0,0,0,0,0,50,2,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,1020,Initial Application,30,13,24,18,67,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,2020,Renewal Application,0,0,0,0,0,116,10,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,1020,Initial Application,30,45,46,36,116,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,2020,Renewal Application,0,0,0,0,0,186,50,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,1020,Initial Application,30,7,78,3,279,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4206,Registered Spectacle Lens Dispenser,2020,Renewal Application,0,0,0,0,0,99,4,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4203,Statement of Licensure,1020,Issue License,30,17,1,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Optometry,4203,Statement of Licensure,2020,Renewal Application,0,0,0,0,0,39,1,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4203,Statement of Licensure,1020,Issue License,30,23,1,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Optometry,4203,Statement of Licensure,2020,Renewal Application,0,0,0,0,0,30,1,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4203,Statement of Licensure,1020,Issue License,30,32,1,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Optometry,4203,Statement of Licensure,2020,Renewal Application,0,0,0,0,0,30,1,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist,N/A,Advanced Practice Pharmacist Application,30,3,29,15,216,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist,N/A,Advanced Practice Pharmacist Application,30,2,24,21,263,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist,N/A,Advanced Practice Pharmacist Application,30,1,45,33,266,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,40,2,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,1,13,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,26,2,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,32,2,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,APH,Advanced Practice Pharmacist ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,4,200,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System,N/A,Automated Drug Delivery System Application,30,0,0,14,119,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System,N/A,Automated Drug Delivery System Application,30,0,0,7,283,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System,N/A,Automated Drug Delivery System Application,30,0,0,16,133,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (Add) ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0, 27,3,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (Add) ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (ADD) ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0, 563,4,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (ADD) ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (ADD) ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0, 49,5,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADD,Automated Drug Delivery System (ADD)  ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic,N/A,Automated Patient Dispensing System 340B Clinic Application,30,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic,N/A,Automated Patient Dispensing System 340B Clinic Application,30,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic,N/A,Automated Patient Dispensing System 340B Clinic Application,30,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Complete,Renewal Application Complete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,ADC,Automated Drug Dispensing System 340B Clinic ,Renewal Application Incomplete,Renewal Application Incomplete, 0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging /Government Owned,N/A,Centralized Hospital Packaging Pharmacy License Application,45,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging /Government Owned,N/A,Centralized Hospital Packaging Pharmacy License Application,45,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned,N/A,Centralized Hospital Packaging Pharmacy License Application,45,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,1,94,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,CHP/CHE,Centralized Hospital Packaging/Government Owned ,Renewal Application Incomplete,Renewal Application Incomplete,0,0,0,0,0,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,CLN/CLE,Clinic/Government Owned,N/A,Clinic Permit Application,30,2,43,3,433,0,0,,
6/30/2022,2022,Q2,November,11/30/2021,California State Board of Pharmacy,CLN/CLE,Clinic/Government Owned,N/A,Clinic Permit Application,30,4,11,1,62,0,0,,
6/30/2022,2022,Q2,October,10/31/2021,California State Board of Pharmacy,CLN/CLE,Clinic/Government Owned,N/A,Clinic Permit Application,30,7,17,8,113,0,0,,
6/30/2022,2022,Q2,December,12/31/2021,California State Board of Pharmacy,CLN/CLE,Clinic/Government Owned ,Renewal Application Complete,Renewal Application Complete,0,0,0,0,0,72,2,,
